id,texto,categoria
547,He construido mi mundo emocional a través de idealizaciones y figuras simbólicas,amorosa
548,Mi manera de experimentar el afecto ha estado muy ligada a la imaginación,amorosa
549,Mi identidad emocional se fue formando antes de tener relaciones amorosas reales,amorosa
550,No comparto mis gustos personales,personal
551,Algunos colores forman parte de mi identidad,personal
552,algunos simbolos forman parte dde mi identidad,personal
553,Me identifico con personalidades inquietas,personal
554,Me identifico con personalidades aceleradas,personal
555,He pasado por múltiples etapas de identidad a lo largo de mi vida.,personal
556,Soy una persona curiosa por naturaleza,personal
557,me gusta explorar temas profundos y oscuros,personal
558,Me considero alguien muy sociable,personal
559,Me considero alguien cercana con sus amistades,personal
560,Tengo una personalidad activa,personal
561,Tengo una personalidad inquieta,personal
562,Me enfoco mucho en algo cuando me apasiona,personal
563,No reconozco lo que hice en secundaria,personal
564,No me enorgullece lo que hice en secundaria,personal
565,No reconozco mi etapa de secundaria,personal
566,No reconozco lo que hice en primaria,personal
567,No me enorgullece lo que hice en primaria,personal
568,No reconozco mi etapa de primaria,personal
569,Soy creadora de contenido,trabajo
570,participo activamente en proyectos relacionados con el terror y la investigación,trabajo
571,Me dedico a contar historias y leyendas como una forma de trabajo creativo,trabajo
572,He convertido mis intereses personales en proyectos profesionales,trabajo
573,Participo en investigaciones de campo,trabajo
574,He viajado a diferentes regiones para recopilar testimonios,trabajo
575,He trabajado en distintas áreas creativas y culturales,trabajo
576,Mi mama me inculco mucho la disciplina,familiar
577,Mi papa me inculco mucho la disciplina,familiar
578,Desde niña sentí que mi privacidad no siempre era respetada dentro de mi familia,familiar
579,Mi mamá tuvo una influencia fuerte en mis decisiones,familiar
580,Mi papá tuvo una influencia fuerte en mis decisiones,familiar
581,La disciplina en mi casa era muy exigente,familiar
582,Mi papá fue una figura clave para sentirme segura en momentos de dolor y miedo.,familiar
583,Mi papá me hacia sentir segura en momentos de miedo,familiar
584,Mi papá me consolaba cuando tenia dolor,familiar
585,Mi mamá fue una figura clave para sentirme segura en momentos de dolor y miedo.,familiar
586,Mi mamá me hacia sentir segura en momentos de miedo,familiar
587,Mi mamá me consolaba cuando tenia dolor,familiar
588,Tengo un vinculo muy fuerte con mi papá,familiar
589,Tengo un vinculo muy fuerte con mi mamá,familiar
590,Mi familia tiene rutinas muy estrucuturadas,familiar
591,siempre idealice a mi pareja,amorosa
592,Construí mi forma de sentir afecto desde la imaginación,amorosa
593,Mi mundo afectivo estuvo muy ligado a lo simbólico,amorosa
594,Mis relaciones siempre fueron tradicionales,amorosa
595,Siempre he sido una persona intensa con mis gustos,personal
596,El miedo formó parte de mi infancia,personal
597,el miedo se transformo en una curiosidad,personal
598,Me acostumbré a enfrentar mis miedos a solas desde niña,personal
599,Me considero una persona sociable y cercana,personal
600,No acepto mis contradicciones,personal
601,Trabajo creando experiencias narrativas,trabajo
602,Mi trabajo implica investigación constante,trabajo
603,Soy una persona muy exigente conmigo misma,personal
604,Disfruto ver cómo mi trabajo tiene impacto en otras personas.,trabajo
605,Me gusta mucho asustar a la gente,personal
606,No puedo controlar mi TDA,personal
607,No puedo controlar mi TDAH,personal
608,Mi padre me enseño a enfrentar el miedo,familiar
609,mi padre hizo que me entrara una fobia ,familiar
610,mi familia se burlaba mucho de mi miedo hacia las arañas,familiar
611,mi familia se burlaba mucho de mis miedos,familiar
612,Mi madre me enseño a enfrentar el miedo,familiar
613,Mi familia formó parte importante de las experiencias que moldearon mis emociones desde pequeña,familiar
614,Sentí tristeza al separarme de personas cercanas en etapas importantes de mi vida,personal
615,Siento que me estoy quedando solo,personal
616,Siento que me estoy quedando sola,personal
617,Perdi muchas personas importantes dde mi familia,familiar
618,la muerte de mi abuela fue muy fuerte para mi,familiar
619,la muerte de mi abuela fue dificil de superar,familiar
620,la muerte de mi abuela fue dificil de aceptar,familiar
621,la muerte de mi abuelo fue muy fuerte para mi,familiar
622,la muerte de mi abuelo fue dificil de superar,familiar
623,la muerte de mi abuelo fue dificil de aceptar,familiar
624,Desde niña experimenté enamoramientos profundos aunque nunca los expresé directamente,amorosa
625,Nunca sube como expresar mis sentimientos hacia la persona que me gustaba,amorosa
626,Me enamoré en silencio,amorosa
627,Guarde mis sentimientos por miedo al rechazo,amorosa
628,Idealicé a mi primer amor,amorosa
629,Sentí arrepentimiento por no haber dicho lo que sentía a tiempo.,amorosa
630,Siento arrepentimiento por no confesar lo que siento,amorosa
631,Viví el amor desde la distancia y la imaginación,amorosa
632,Me da miedo que al confesarme me rechacen,amorosa
633,Intenté reemplazar un amor perdido enamorándome de otra persona,amorosa
634,No tome las mejores decisiones en mi vida amorosa,amorosa
635,Por estar enamorado me aleje de mis amigos,amorosa
636,Aprendí a reírme para ocultar mis emociones,personal
637,Me da miedo mostrar mis emociones,personal
638,Me da miedo mostrar lo que realmente siento,personal
639,Me da miedo mostrar lo que realmente siento por alguien,amorosa
640,Me generaba vergüenza enfrentar recuerdos de mi pasado adolescente,personal
641,Me costó adaptarme a separaciones,amorosa
642,Me cuesta soltar recuerdos,personal
643,Me cuesta soltar las cosas que me atan,personal
644,Me cuesta darme cuenta de lo que me hace daño,personal
645,Me cuesta adaptarme a cambios sociales,personal
646,No me acostumbro a cambiar de amigos,personal
647,Mis amigos generalmente me dejan de hablar,personal
648,"Viví miedo, tristeza y añoranza de manera muy intensa en mi juventud",personal
649,Vivi miedo de una manera muy cruel cuando era niño,personal
650,vivi mucha tristeza cuando era niño,personal
651,Me da temor revisitar versiones pasadas de mí misma,personal
652,El deporte fue una parte clave de mi disciplina de joven,personal
653,Gracias a mis habilidades deportivas tuve oportunidades académicas importantes.,trabajo
654,Aprendí a trabajar en equipo desde temprana edad.,trabajo
655,Sacrifiqué experiencias personales por cumplir con responsabilidades,trabajo
656,El esfuerzo sostenido me enseñó a ser disciplinada,trabajo
657,El esfuerzo sostenido me enseñó a ser responsable,trabajo
658,el camino que elegí tuvo costos emocionales y sociales.,personal
659,Sentí apoyo familiar incluso cuando atravesaba emociones difíciles,familiar
660,Tengo arraigado muchas malas costumbres familiares,familiar
661,Experimenté angustia al dejar atrás personas cercanas al cambiar de etapa escolar.,familiar
662,Por el cambio de escuela no pude mantener muchas relaciones cercanas,personal
663,Hubo momentos familiares que me hicieron sentir vulnerable emocionalmente,familiar
664,No sentia que me apoyaba mi familia,familiar
665,No me animo a confesar lo que siento,amorosa
666,Estar con la persona que me gusta me provoca ansiedad,amorosa
667,Idealizo constantemente a mi pareja,amorosa
668,No hablamos mi pareja y yo de los malos entendidos,amorosa
669,"Cuando hay un malententido entre mi pareja y yo, no hablamos",amorosa
670,Experimenté tristeza por no haberme despedido de alguien que fue importante para mí,amorosa
671,perimenté tristeza por no haberme despedido de un familiar importante para mi,familiar
672,Asocié el amor con pérdida,amorosa
673,Tengo miedo de quedarme expuesta emocionalmente,personal
674,Tengo miedo de quedarme expuesto emocionalmente,personal
675,Me tormenta pensar que pude haber perdido a mi gran amor,amorosa
676,Me dolió aceptar que algunas historias amorosas no tuvieron cierre,amorosa
677,Mi pareja y yo no terminamos en buenos terminos,amorosa
678,Mi novia y yo terminamos,amorosa
679,Mi novio y yo terminamos,amorosa
680,Uso la escritura como una forma de procesar mis emociones,personal
681,He experimentado ansiedad ante la idea de crecer,personal
682,me da ansiedad la idea de crecer,personal
683,la da miedo la idea de cambiar,personal
684,me da miedo la idea de crecer,personal
685,Tiendo a aferrarme a los recuerdos como una forma de protección emocional,personal
686,Mi prima intervenía mucho en mis situaciones personales,familiar
687,Mi primo intervenía mucho en mis situaciones personales,familiar
688,Mis primos se burlaban mucho de mi cuando era joven,familiar
689,Mi familia se involucraba mucho en lo que pasaba en mi escuela,familiar
690,A veces sentía que mi familia no tomaba en serio mis emociones,familiar
691,Aprendí desde joven a ocultar ciertas cosas a mis padres,familiar
692,No le cuento nada a mis padres,familiar
693,Prefería decir verdades a medias a mi familia,familiar
694,No le tengo confianza a mis padres,familiar
695,No le tengo confianza a mi madre,familiar
696,No le tengo confianza a mi padre,familiar
697,me da vergueza expresar lo que siento por alguien,amorosa
698,Me enamoré de alguien con quien compartía una actividad en común,amorosa
699,Asocié el interés amoroso con el tiempo que alguien me dedicaba.,amorosa
700,Me gusta que solo me dedique tiempo a mi,amorosa
701,Lo quiero tener todo el dia para mi,amorosa
702,La quiero tener todo el dia para mi,amorosa
703,No entendia como funcionaban las relaciones romanticas,amorosa
704,Me puse muy nervisa cuanddo alguien me pidio ser su novia,amorosa
705,Me abrumaron mis propias emociones cuando inicié una relación,amorosa
706,No sabia que serntir cuando inicié una relacion,amorosa
707,"Aunque acepté tener novio, me dio vergüenza hablarle después",amorosa
708,"Aunque acepté tener novia, me dio vergüenza hablarle después",amorosa
709,Terminé una relación sin haber sabido cómo sostenerla,amorosa
710,Mi primera relación duró poco por mi inseguridad,amorosa
711,Me afectó no saber cómo actuar dentro de una relación amorosa,amorosa
712,Me aterraba entrar a una nueva etapa sin conocer a nadie,personal
713,Sentía mucha ansiedad ante la posibilidad de no hacer amigos,personal
714,Siento mucha ansiedad ante la posibilidad de no hacer amigos,personal
715,Vivo con miedo a la incertidumbre,personal
716,Tendía a sobreanalizar situaciones sociales,personal
717,Tiendo a sobreanalizar las situaciones,personal
718,Tiendo a sobrepensar las cosas,personal
719,Tiendo a sobrepensar las situaciones que vivo,personal
720,Me juzgaba a mí misma por cómo pensaba o sentía,personal
721,Me juzgo a mí misma por cómo pienso,personal
722,No siento que sea una gran persona,personal
723,Me da cringe recordar versiones pasadas de mí,personal
724,Siento vergüenza de mis decisiones emocionales del pasado,personal
725,Me afecta mucho la opinión de los demás,personal
726,Soy muy autocritica con mi apariencia,personal
727,Soy muy autocritico con mi apariencia,personal
728,Mi padre critica mucho mi apariencia,familiar
729,Mi madre critica mucho mi apariencia,familiar
730,Formé amistades a partir del deporte,personal
731,El deporte influyó en mi forma de socializar,personal
732,Viví frustración al perder partidos importantes,trabajo
733,Yo me río para no enfrentar la realidad,personal
734,Me rio de mi mismo para evitar burlas ajenas,personal
735,haberme separado de mis amigos me aterra,personal
736,Me aterra entrar a la secu y no conocer a nadie,personal
737,Me aterra entrar a la secundaria y no conocer a nadie,personal
738,Me aterra entrar a la prepa y no conocer a nadie,personal
739,Me aterra entrar a la preparatoria y no conocer a nadie,personal
740,Me aterra entrar a la uni y no conocer a nadie,personal
741,Me aterra entrar a la universidad y no conocer a nadie,personal
742,que tal si no puedo hacer amigos rapido,personal
743,pienso que todos me odian,personal
744,nunca eh tenido novio,amorosa
745,nunca eh tenido novia,amorosa
746,Mi prima se involucraba constantemente en mis situaciones emocionales,familiar
747,Mi primo se involucraba constantemente en mis situaciones emocionales,familiar
748,No sé cómo es confesarse,amorosa
749,No se como declararme a una persona,amorosa
750,Me molestaba que mi prima interrumpiera momentos importantes para mí.,familiar
751,Mi prima interrumpio cuando se me declaraban,familiar
752,Me molestaba que mi primo interrumpiera momentos importantes para mí.,familiar
753,Mi primo interrumpio cuando se me declaraban,familiar
754,Sentia celos por la relacion que tenia alguien de mi familia,familiar
755,No tengo suficiente confianza para contar cosas a mi familia,familiar
756,Me aterraba expresar mis sentimientos hacia alguien que me gustaba,amorosa
757,Me enamoré de alguien con quien compartía tiempo,amorosa
758,Me enamoré de alguien con quien compartía actividades,amorosa
759,Siempre pense que tener novio es ser demasiado adulto,amorosa
760,Me gusta que me dediquen mucho tiempo,amorosa
761,Me genera inseguridad no tener novio,amorosa
762,Me paralizo cuando estoy con la persona que me gusta,amorosa
763,Sentí nervios intensos cuando alguien intentó declararse conmigo,amorosa
764,Siento muchos nervios cuando alguien se me declara,amorosa
765,Acepté una relación sin saber cómo manejarla,amorosa
766,Me sentí tan nerviosa que evité hablar con mi pareja.,amorosa
767,Me emocioné al sentirme correspondida,amorosa
768,Me sentí abrumada por la intensidad emocional de una relación.,amorosa
769,Me sentí abrumado por la intensidad emocional de una relación.,amorosa
770,Me sentí tan nervioso que evité hablar con mi pareja.,amorosa
771,Sentía miedo de entrar a una nueva etapa sin conocer a nadie,personal
772,Me generaba ansiedad no saber si lograría hacer amigos,personal
773,Me genera ansiedad no saber si lograría hacer amigos,personal
774,Sobrepienso mucho por mi pareja,amorosa
775,Me juzgo constantemente por mis decisiones,personal
776,Me juzgo constantemente por mis acciones,personal
777,Experimentaba vergüenza al exponer mis emociones frente a otros.,personal
778,Siento vergüenza al mostrar mis emociones frente a otros,personal
779,Prefería huir de momentos intensos antes que afrontarlos,personal
780,Me pongo nervioso cuando la gente me da mucha atencion,personal
781,No se expresar bien mis emociones,personal
782,Mi pareja no me genera confianza,amorosa
783,dudo mucho de lo que me dice mi novia,amorosa
784,dudo mucho de lo que me dice mi novio,amorosa
785,No saber donde esta mi novia me genera angustia,amorosa
786,No saber donde esta mi novio me genera angustia,amorosa
787,Logré hacer amistades dentro del ámbito escolar,trabajo
788,El básquetbol influyó en mis relaciones sociales,trabajo
789,Juego básquetbol durante los recesos escolares,trabajo
790,El como me siento depende de como me iba en el basquetbol ,personal
791,El futbol influyó en mis relaciones sociales,trabajo
792,Juego futbol durante los recesos escolares,trabajo
793,El como me siento depende de como me iba en el futbol ,personal
794,Jugar basquet me hizo hacer nuevos amigos,personal
795,hice nuevos amigos por jugar basquet,personal
796,En mi relacion casi no nos hablamos,amorosa
797,Sentí la necesidad de justificar ante mis papás el origen de algo que me regalaron.,familiar
798,No me gusta explicarle cosas a mi familia,familiar
799,Prefiero decir mentiras sobre mi dia que contar la verdad a mi familia,familiar
800,Acepté tener novio aun cuando no sabía cómo manejar una relación,amorosa
801,Acepté tener novia aun cuando no sabía cómo manejar una relación,amorosa
802,No sabia que hacer al tener novio,amorosa
803,No sabia que hacer al tener novia,amorosa
804,La vergüenza me impidió volver a hablarle a mi pareja,amorosa
805,me da verguenza tener novio,amorosa
806,me da verguenza tener novia,amorosa
807,Viví mi primer noviazgo prácticamente sin comunicación,amorosa
808,Me abruma gustarle tanto a alguien,amorosa
809,Me da miedo caer en una relacion toxico,amorosa
810,Por mas que lo intento no puedo confiar en mi novio,amorosa
811,Por mas que lo intento no puedo confiar en mi novia,amorosa
812,Termine mi relacion porque no sabia que hacer,amorosa
813,Termine con mi novio porque me engaño,amorosa
814,Termine con mi novia porque me engaño,amorosa
815,Me daba pena mirar a mi pareja a los ojos después de aceptar ser novios,amorosa
816,Me sentí confundida entre la emoción de gustarle a alguien y el miedo a interactuar,amorosa
817,Al enamorarme siento tambien mucho miedo,amorosa
818,Asocio el enamoramiento con una sensación intensa de nervios y ansiedad.,amorosa
819,Me da vergüenza expresar cariño o cercanía emocional.,amorosa
820,Me da miedo expresar cariño y no ser correspondido,amorosa
821,Me da miedo expresar cariño y no ser correspondida,amorosa
822,siento que fui la peor novia,amorosa
823,siento que fui la peor novio,amorosa
824,No se como actuar con mi pareja,amorosa
825,no se como actuar con mi novio,amorosa
826,no se como actuar con mi novia,amorosa
827,Mi apariencia no me gusta,personal
828,La vergüenza gobernaba muchas de mis decisiones.,personal
829,Decido muchas veces lo que me evite vergüenza,personal
830,No me gusta enfretar situaciones incomodas,personal
831,Me cuesta expresar lo que siento,personal
832,Escribir me ayuda a procesar las emociones,personal
833,uso el humor para sentirme menos incomodo,personal
834,No supero a mi ex,amorosa
835,Mi familia vivio muchas malas situaciones economicas,familiar
836,Mi familia es muy invasiva en mi vida,familiar
837,En mi adolescencia sentía que mis papás me ponían límites estrictos,familiar
838,Me cuesta confiar en otras personas para contarles lo que siento,personal
839,Me da miedo que otras personas conozcan mis pensamientos más íntimos,personal
840,Tengo miedo a ser juzgado por lo que pienso ,personal
841,Tengo miedo a ser juzgado por lo que digo,personal
842,tengo miedo a ser juzgado por lo que hago,personal
843,Tengo miedo a ser juzgada por lo que pienso ,personal
844,Tengo miedo a ser juzgada por lo que digo,personal
845,tengo miedo a ser juzgada por lo que hago,personal
846,"He desarrollado mi carrera combinando creatividad, humor y expresión personal.",trabajo
847,Mi mamá influyó mucho en mi forma de ver las relaciones,familiar
848,Mi mamá es muy directa con sus opiniones,familiar
849,Mi papá influyó mucho en mi forma de ver las relaciones,familiar
850,Mi papá es muy directa con sus opiniones,familiar
851,"Mi padres no me dejan tener novio, son muy estrictos",familiar
852,Mis papás fueron muy rudos conmigo durante mi adolescencia,familiar
853,Mis papás son rudos conmigo,familiar
854,Mi papá no es muy comprensivo,familiar
855,Mi mamá no es muy comprensiva,familiar
856,Siento que mi papá no me dice toda la verdad,familiar
857,Siento que mi mamá no me dice toda la verdad,familiar
858,No se me permite salir ni convivir libremente con hombres,familiar
859,Comparaba mi situación con la de mi hermana,familiar
860,Desde joven me atraían personas que parecían emocionalmente imposibles.,amorosa
861,Creo que mi amor puede cambiar a una persona,amorosa
862,se que puedo cambiar a mi novio,amorosa
863,se que puedo cambiar a mi novia,amorosa
864,No tengo amor propio,personal
865,priorizo escuchar y apoyar a quien me gustaba aunque eso me lastimara,amorosa
866,idealizo el amor,amorosa
867,Deseaba profundamente que alguien me quisiera,amorosa
868,Siento que ocupo tener pareja para sentirme completo,amorosa
869,Siento que ocupo tener pareja para sentirme completa,amorosa
870,Me preocupa el no ser querido,amorosa
871,Me preocupa el no ser querida,amorosa
872,Me preocupa la idea de envejecer solo,amorosa
873,Me preocupa la idea de envejecer sola,amorosa
874,Mis emociones son dificiles de manejar,personal
875,cuando me enojo exploto,personal
876,Me preocupa mucho el como me veo,personal
877,vivo con inseguridad sobre mi apariencia,personal
878,No me gusta como me veo,personal
879,siento confunsion sobre lo que quiero,personal
880,Aprendí desde joven a escribir como forma de expresión,trabajo
881,Desde temprana edad desarrollé habilidades creativas como la escritura y el dibujo,trabajo
882,Tenía disciplina para dedicar tiempo a actividades creativas,trabajo
883,Escribir me ayuda a expresar mis sentimientos,amorosa
884,Crecí en un entorno donde mi mamá controlaba mucho mis relaciones sentimentales,familiar
885,Crecí en un entorno donde mi papá controlaba mucho mis relaciones sentimentales,familiar
886,En mi casa había reglas estrictas sobre tener novio,familiar
887,Mi familia prioriza primero la escuela a todo lo demas,familiar
888,Mi familia veía con preocupación el tema del embarazo adolescente,familiar
889,Los miedos de mis padres influyeron en mis libertaddes,familiar
890,Mis decisiones amorosas estaban muy condicionadas por las normas familiares,amorosa
891,siento que mi familia me limita emocionalmente,familiar
892,Desde muy joven tenía una fuerte necesidad de tener novio,amorosa
893,Idealizaba el amor,amorosa
894,Me enamoraba de personas que apenas conocía,amorosa
895,Me enamoraba de personas con quienes no hablaba,amorosa
896,Vivía el amor de forma platónica por mucho tiempo,amorosa
897,Soñaba con casarme incluso desde la infancia,amorosa
898,Sueño con casarme,amorosa
899,Me ilusionaba por todo,amorosa
900,Me siento confundida cuando me gustaban varias personas al mismo tiempo,amorosa
901,Me siento confundido cuando me gustaban varias personas al mismo tiempo,amorosa
902,Deseaba profundamente sentirme elegida,amorosa
903,Deseaba profundamente sentirme correspondida,amorosa
904,Me aferraba emocionalmente a personas que no estaban disponibles,amorosa
905,Me involucré emocionalmente con alguien que tenía pareja,amorosa
906,Me cuesta soltar relaciones incluso cuando eran inestables,amorosa
907,Expreso mi amor de forma exagerada o cursi,amorosa
908,Me encierro en mi imaginacion a menudo,personal
909,Rogaba a personas para que fuera mi novio,amorosa
910,Rogaba a personas para que fuera mi novia,amorosa
911,Deseaba profundamente sentirme elegido,amorosa
912,Deseaba profundamente sentirme correspondido,amorosa
913,generalmente no me siento correspondida cuando yo me entrego totalmente,amorosa
914,Proceso mis emociones escribiendo un diario,personal
915,Idealizar es una forma de protegerme del rechazo.,personal
916,Me siento confundida sobre lo que quería emocionalmente,personal
917,Prefería soñar con el amor antes que enfrentarlo,personal
918,Construyo narrativas románticas para sentirme especial,personal
919,Me costaba socializar directamente con las personas que me gustaban,amorosa
920,Mi prioridad durante muchos años fue cumplir con la escuela,trabajo
921,Mi proceso de maduración emocional estuvo ligado a mi formación académica,trabajo
922,en mi escuela son muy exigentes,trabajo
923,siento que mi novia no me apoya,amorosa
924,siento que mi novio no me apoya,amorosa
925,Mi novia me deja abajo en los proyectos,amorosa
926,Mi novio me deja abajo en los proyectos,amorosa
927,Me voy a casar,amorosa
928,Hice que una persona terminara su relacion por mi,amorosa
929,yo siempre he sido una niña muy gritona,personal
930,extraño mucho a mi ex,amorosa
931,Hacía muchas cosas a escondidas por miedo a la reacción de mi mamá,familiar
932,Mi mamá cuestionaba mis decisiones,familiar
933,Mi papá cuestionaba mis decisiones,familiar
934,Mi mamá siempre estuvo presente,familiar
935,Mi papá siempre estuvo presente,familiar
936,Mis padres siempre estuvieron presentes,familiar
937,Mis padres no me apoyaban en mis decisiones vocacionales,familiar
938,Mi hermana fue un apoyo emocional importante,familiar
939,Mi hermano fue un apoyo emocional,familiar
940,Mi hermano me apoyo mucho,familiar
941,Mi hermana me apoyo mucho,familiar
942,Mi familia me inculco muchos miedos,familiar
943,Siento que me falta apoyo de mis padres muchas veces,familiar
944,Viví una ruptura amorosa justo antes de entrar a la universidad,amorosa
945,Comenze una una etapa con el corazon roto,amorosa
946,Entré a una nueva etapa académica con el corazón roto,amorosa
947,entre a la universidad con el corazon roto,amorosa
948,Me enamoraba casi de cualquiera,amorosa
949,idealizo a las personas,amorosa
950,idealizo a mis crushes,amorosa
951,Me enamoro solo con miradas,amorosa
952,Sentía ilusión intensa aunque nunca hubiera una relación real,amorosa
953,Deseaba que una historia amorosa se diera,amorosa
954,Me gustaba alguien durante años sin que hubiera contacto real,amorosa
955,El ultimo amor que tuve dolio muchisimo,amorosa
956,He tenido miedo de volver a sentir tanto como antes,amorosa
957,En algún momento dejé de permitirme sentir para evitar el dolor,amorosa
958,Amar es muy dificil,amorosa
959,Aun sigo buscanddo el amor,amorosa
960,Hoy sigo buscando el amor,amorosa
961,intento reflexionar de la vida,personal
962,intento decidir que quiero hacer con mi vidad,personal
963,Dejé de ser tan tímida con el paso del tiempo.,personal
964,Aprendí a escuchar a las personas sin sentir miedo,personal
965,siento miedo el platicar con personas,personal
966,Sentía frustración por no poder hacer cosas simples que deseaba,personal
967,Busco superarme,personal
968,Intento protegerme del dolor todo lo que puedo,personal
969,me cerre emocionalmente,personal
970,Con el tiempo me fui cerrando emocionalmente,personal
971,Entré a la universidad a los diecisiete años.,trabajo
972,Entré a la universidad ,trabajo
973,Estudié Literatura dramática y teatro,trabajo
974,Elegí una carrera artística a pesar de la oposición de mis padres,trabajo
975,Elegi una carrera que mis padres dijieron que no tiene futuro,trabajo
976,La creación artística ha sido una forma de procesar mis experiencias personales,trabajo
977,"Trabajo en comedia, impro y creación escénica",trabajo
978,Mi vida emocional influye directamente en mi trabajo artístico,trabajo
979,Siento que mis papás influyeron negativamente en muchas cosas de mi formación,familiar
980,Cuantos problemas mios vienen desdde que yo era niño,familiar
981,Mis padres me dejaron solo mucho tiempo cuando era niño,familiar
982,Crecí en un entorno donde pasaba mucho tiempo sin compañía familiar,familiar
983,Mi mamá solía ver documentales que me generaban desconfianza hacia la autoridad,familiar
984,Mi abuelo tuvo una influencia importante en lo que consumía,familiar
985,Mi papá solía ver documentales que me generaban desconfianza hacia la autoridad,familiar
986,Mi abuela tuvo una influencia importante en lo que consumía,familiar
987,Desde niño me acostumbré a entretenerme solo,familiar
988,Me averguenza cometer errores,personal
989,He trabajado en escenarios y espacios públicos de comedia,trabajo
990,Mi infancia fue distinta a otros,personal
991,Mi carrera se ha construido a lo largo de muchos año,trabajo
992,mi equipo no me ayuda,trabajo
993,me siento abrumado por toda la carga de trabajo que tengo,trabajo
994,vamos atrasados en el trabajo y eso me estresa,trabajo
995,no se me da ser un buen lider de equipo,trabajo
996,me da pena dar ordenes,trabajo
997,siento que mi equipo se va a molestar si les pido avances,trabajo
998,ocupamos avanzar muy rapido y es muy estresante,trabajo
999,tengo el tiempo contado en el trabajo,trabajo
1000,me falta seguridad al tomar decisiones que impacten el trabajo,trabajo
1001,me llaman por un apodo que no me gusta mucho,personal
1002,Ya siento que no puedo ser tan sarcastico,personal
1003,hago sentir mal a la gente sin querer,personal
1004,En la familia de mi mamá la carrilla es la principal forma de comunicación,familiar
1005,Aprendí a comunicarme con mi mamá a través de bromas,familiar
1006,Me comunico mejor con bromas,personal
1007,En la familia de mi papá la carrilla es la principal forma de comunicación,familiar
1008,Aprendí a comunicarme con mi papá a través de bromas,familiar
1009,Mi familia me enseño a comunicarme a base del humor,familiar
1010,Mi familia reforzó que la burla fuera una forma válida de expresar afecto,familiar
1011,siempre fui catalogado como el chistoso,personal
1012,Me costo elegir que quiero ser,trabajo
1013,Aun no se a que me quiero dedicar,personal
1014,Desarrollé una obsesión profunda por la comedia,personal
1015,Pasé mucho tiempo solo,personal
1016,Desde joven supe que mi prioridad era provocar risa,personal
1017,Ya no me da pena tan facil,personal
1018,Me apeno muy facil,personal
1019,Desde la secundaria supe que quería dedicarme a la comedia,trabajo
1020,Elegí la comedia como proyecto de vida,trabajo
1021,me preocupaba que a lo que me dedicara me diera para vivir,trabajo
1022,me forme consumiento teatro,trabajo
1023,No quiero trabajar en una oficina,trabajo
1024,No me gusta la idea de un trabajo godin,trabajo
1025,Mi objetivo profesional siempre ha sido hacer reír a la gente,trabajo
1026,Estudié comunicación,trabajo
1027,Estudie programacion,trabajo
1028,A pesar de mi preparación académica termine trabajando de otras cosas,trabajo
1029,No disfruté la universidad,trabajo
1030,he participado en muchos proyectos,trabajo
1031,He entrenado mi sensibilidad profesional a través de la observación del cringe social,trabajo
1032,No me va muy bien en mi trabajo,trabajo
1033,Mi papá es siempre esta muy presente en mi vida,familiar
1034,Mi mamá es siempre esta muy presente en mi vida,familiar
1035,Mi relación con mi familia aparece como un respaldo emocional,familiar
1036,llegue a mi trabajo como si supiera todo y vi que no se nada,trabajo
1037,seguir mi sueño no me da de comer,trabajo
1038,trabajar de lo que me gusta no me mantiene con una buena calidad de vida,trabajo
1039,ese día me salí del trabajo para ir a promocionar mi disco,trabajo
1040,Falle en un escenario y me awuite mucho,trabajo
1041,en esa ocacion experimente la muerte del ego,personal
1042,Me enfrenté al silencio y a la incomodidad como parte del aprendizaje,personal
1043,Empecé en la comedia creyendo que ya dominaba el oficio,trabajo
1044,Empece a ejercer pensando que ya dominaba todos los temas,trabajo
1045,Fracasé públicamente frente a un público,trabajo
1046,Me di cuenta de que necesitaba aprender a escribir comedia desde cero,trabajo
1047,Tenía un empleo formal mientras intentaba desarrollarme como comediante,trabajo
1048,Viví el miedo de quedar marcado como alguien que fracasó en el trabajo,trabajo
1049,Empece a trabajar de manera mas disciplinada,trabajo
1050,Viví de un sueldo muy bajo haciendo lo que me gustaba,trabajo
1051,Acepté una vida económica limitada con tal de perseguir mi vocación artística,trabajo
1052,Me sentí incómodo promoviendo mi propio trabajo,trabajo
1053,me da vergüenza promover mi trabajo,trabajo
1054,Me sali de mi trabajo para ejercer lo que queria,trabajo
1055,"Mi trabajo consiste en observar, interpretar y transformar experiencias en comedia",trabajo
1056,Vivo una tensión constante entre burlarme y respetar lo que observo,trabajo
1057,me preocupa avergonzar a mi familia,familiar
1058,Me preocupa que mi mamá vea momentos incómodos míos en medios públicos,familiar
1059,pienso en que dira mi familia y salgo ridiculizado,familiar
1060,Crecí con una conciencia fuerte de cómo mi familia podía juzgar lo que hago,familiar
1061,Mi familia es muy juzgona,familiar
1062,lo que opine mi madre es lo correcto,familiar
1063,lo que opine mi padre es lo correcto,familiar
1064,Mi vida amorosa no es un eje central en mis decisiones actuales.,amorosa
1065,Reflexiono sobre la paternidad,amorosa
1066,No me gusta la idea de formar una familia,amorosa
1067,Veo la idea de tener hijos más como una carga,amorosa
1068,Me preocupa cómo me perciben los demás,personal
1069,Siento ansiedad al pensar que personas de mi entorno laboral se burlen de mí.,trabajo
1070,No me gustar compartir con nadie mis experiencias,personal
1071,Aprendí a mantener la compostura en situaciones caóticas,personal
